Area Name,Date,# of Hunters,# of Ducks,# of Geese,# of Waterfowl,Average Ducks,Average Geese,Average Waterfowl,#1 Species,#2 Species
GRAY LODGE,12/19,136,283,45,328,2.08,0.33,2.41,MALL,NSHO
GRAY LODGE,12/22,211,377,25,402,1.79,0.04,1.91,MALL,AMWI
GRAY LODGE,12/23,96,178,37,215,1.85,0.16,2.24,MALL,AMWI
SACRAMENTO,12/19,115,282,16,298,2.45,0.14,2.59,GADW,NSHO
SACRAMENTO,12/22,198,278,38,316,1.40,0.16,1.60,GADW,NSHO
SACRAMENTO,12/23,98,85,5,90,0.87,0.05,0.92,NSHO,GADW
SUTTER,12/19,54,84,2,86,1.56,0.04,1.59,MALL,NOPI
SUTTER,12/22,82,196,2,198,2.39,0.02,2.41,AGWT,MALL
SUTTER,12/23,25,95,0,95,3.80,0.00,3.80,AGWT,MALL
DELEVAN,12/31,156,622,120,742,3.99,0.77,4.76,MALL,AGWT
DELEVAN,1/5,172,587,35,622,3.41,0.20,3.62,GADW,NSHO
DELEVAN,1/6,127,230,22,252,1.81,0.17,1.98,NSHO,GADW
GRAY LODGE,12/31,166,481,56,537,2.90,0.34,3.23,MALL,AGWT
GRAY LODGE,1/5,275,485,45,530,1.76,0.16,1.93,GADW,MALL
GRAY LODGE,1/6,136,193,26,219,1.42,0.19,1.61,MALL,AMWI
SACRAMENTO,12/31,160,505,100,605,3.16,0.63,3.78,MALL,GADW
SACRAMENTO,1/5,194,417,20,437,2.15,0.10,2.25,NSHO,GADW
SACRAMENTO,1/6,137,136,18,154,0.99,0.13,1.12,NSHO,MALL
SUTTER,12/31,83,154,25,179,1.86,0.30,2.16,MALL,GADW
SUTTER,1/5,83,304,50,354,3.66,0.60,4.27,AGWT,AMWI
SUTTER,1/6,95,172,15,187,1.81,0.16,1.97,AGWT,AMWI
DELEVAN,1/9,135,483,25,508,3.58,0.19,3.76,GADW,AGWT
DELEVAN,1/12,178,988,40,1028,5.55,0.22,5.78,AGWT,GADW
DELEVAN,1/13,142,488,19,507,3.44,0.13,3.57,GADW,NSHO
GRAY LODGE,1/9,166,514,36,550,3.10,0.22,3.31,GADW,MALL
GRAY LODGE,1/12,265,944,181,1125,3.56,0.68,4.25,MALL,GADW
GRAY LODGE,1/13,188,473,96,569,2.52,0.51,3.03,MALL,GADW
SACRAMENTO,1/9,140,434,42,476,3.10,0.30,3.40,GADW,AGWT
SACRAMENTO,1/12,203,776,55,831,3.82,0.27,4.09,GADW,NSHO
SACRAMENTO,1/13,130,324,72,396,2.49,0.55,3.05,GADW,MALL
SUTTER,1/9,73,133,40,173,1.82,0.55,2.37,MALL,AMWI
SUTTER,1/12,92,464,87,551,5.04,0.95,5.99,AMWI,MALL
SUTTER,1/13,105,331,59,390,3.15,0.56,3.71,AMWI,MALL
DELEVAN,1/16,169,947,193,1140,5.60,1.14,6.75,GADW,AMWI
DELEVAN,1/19,147,712,210,922,4.84,1.43,6.27,GADW,NSHO
DELEVAN,1/20,166,521,154,675,3.14,0.93,4.07,GADW,NSHO
GRAY LODGE,1/16,218,1027,118,1145,4.71,0.54,5.25,MALL,GADW
GRAY LODGE,1/19,414,1561,83,1644,3.77,0.20,3.97,GADW,AMWI
GRAY LODGE,1/20,294,696,125,821,2.37,0.43,2.79,GADW,AMWI
SACRAMENTO,1/16,144,625,176,801,4.34,1.22,5.56,GADW,NSHO
SACRAMENTO,1/19,250,772,226,998,3.09,0.90,3.99,NSHO,GADW
SACRAMENTO,1/20,198,388,252,640,1.96,1.27,3.23,GADW,MALL
SUTTER,1/16,109,414,158,572,3.80,1.45,5.25,MALL,AMWI
SUTTER,1/19,110,361,85,446,3.28,0.77,4.05,MALL,AMWI
SUTTER,1/20,120,459,87,546,3.83,0.73,4.55,AMWI,MALL
DELEVAN,1/23,161,527,67,594,3.27,0.42,3.69,AGWT,GADW
DELEVAN,1/26,182,458,106,564,2.52,0.58,3.10,GADW,AGWT
DELEVAN,1/27,166,221,27,248,1.33,0.16,1.49,AGWT,GADW
GRAY LODGE,1/23,24,114,1,115,4.75,0.04,4.79,MALL,GADW
GRAY LODGE,1/26,230,483,1,484,2.10,0.00,2.10,AGWT,AMWI
GRAY LODGE,1/27,120,132,3,135,1.10,0.03,1.13,AGWT,MALL
SACRAMENTO,1/23,1,1,0,1,1.00,0.00,1.00,MALL,NSHO
SACRAMENTO,1/26,244,598,114,712,2.45,0.47,2.92,GADW,AGWT
SACRAMENTO,1/27,185,153,68,221,0.83,0.37,1.20,NSHO,GADW
SAN JACINTO,1/23,146,350,0,357,2.40,0.00,2.45,NSHO,AGWT
SAN LUIS,1/23,59,195,0,195,3.31,0.00,3.31,AGWT,NSHO
SAN LUIS,1/26,101,196,1,197,1.94,0.01,1.95,AGWT,NSHO
SAN LUIS,1/27,67,111,2,113,1.66,0.03,1.69,AGWT,MALL
SUTTER,1/23,83,107,32,228,1.29,0.39,2.75,NOPI,AMWI
SUTTER,1/26,76,295,40,344,3.88,0.53,4.53,AGWT,AMWI
SUTTER,1/27,68,160,33,193,2.35,0.49,2.84,AGWT,MALL
