Area Name,Date,# of Hunters,# of Ducks,# of Waterfowl,Average Ducks,Average Geese,Average Waterfowl,#1 Duck Harvest,#2 Duck Harvest,#1 Duck Species,#2 Duck Species
HONEY LAKE-DAKIN,12/16,16,16,22,1.00,0.38,1.38,8,5,MALL,PNTL
HONEY LAKE-FLEMING,12/12,35,52,57,1.49,0.14,1.63,31,9,MALL,PNTL
HONEY LAKE-FLEMING,12/15,33,56,66,1.70,0.30,2.00,33,15,MALL,PNTL
HONEY LAKE-FLEMING,12/16,15,8,15,0.53,0.47,1.00,5,2,MALL,PNTL
HOWARD SLOUGH (UBB),12/12,50,113,113,2.26,,2.26,38,26,MALL,AMWI
HOWARD SLOUGH (UBB),12/15,70,115,125,1.64,0.14,1.79,44,30,MALL,AMWI
HOWARD SLOUGH (UBB),12/16,34,34,35,1.00,,1.03,8,7,SHOV,AMWI
KERN,12/12,95,243,267,2.56,,2.81,51,46,SHOV,GADW
KERN,12/15,148,398,398,2.69,,2.69,111,86,SHOV,GADW
ISLAND SLOUGH,12/12,10,10,10,1.00,,1.00,2,2,GWTL,CANV
ISLAND SLOUGH,12/15,15,8,10,0.53,0.07,0.67,3,2,SHOV,MALL
ISLAND SLOUGH,12/16,10,12,13,1.20,,1.30,5,2,RUDD,MALL
KESTERSON,12/12,55,135,135,2.45,,2.45,75,17,GWTL,SHOV
KESTERSON,12/15,72,92,92,1.28,,1.28,27,15,GWTL,MALL
KESTERSON,12/16,47,15,18,0.32,,0.38,7,3,GWTL,MALL
LITTLE DRY CR. (UBB),12/12,78,226,229,2.90,0.04,2.94,95,30,MALL,GWTL
LITTLE DRY CR. (UBB),12/15,86,214,215,2.49,0.01,2.50,75,50,MALL,AMWI
LITTLE DRY CR. (UBB),12/16,78,208,209,2.67,0.01,2.68,58,54,MALL,AMWI
LLANO SECO (UBB),12/12,55,94,95,1.71,0.02,1.73,45,13,GWTL,AMWI
LLANO SECO (UBB),12/15,65,148,148,2.28,,2.28,48,46,MALL,AMWI
LLANO SECO (UBB),12/16,23,53,54,2.30,,2.35,15,13,MALL,AMWI
LOS BANOS,12/12,68,148,148,2.18,,2.18,68,23,GWTL,MALL
LOS BANOS,12/15,149,339,345,2.28,0.04,2.32,126,65,GWTL,MALL
LOS BANOS,12/16,84,52,54,0.62,0.02,0.64,17,15,GWTL,MALL
MENDOTA,12/12,157,263,267,1.68,,1.70,121,41,GWTL,MALL
MENDOTA,12/15,317,387,391,1.22,0.01,1.23,149,57,GWTL,SHOV
MENDOTA,12/16,135,94,95,0.70,0.01,0.70,26,25,GWTL,MALL
MERCED,12/12,25,49,51,1.96,0.08,2.04,13,12,GWTL,SHOV
MERCED,12/15,32,56,69,1.75,0.41,2.16,19,15,MALL,GWTL
NORTH FRIETAS,12/12,15,46,46,3.07,,3.07,22,17,MALL,GWTL
NORTH FRIETAS,12/15,20,19,19,0.95,,0.95,15,2,MALL,WDDU
NORTH FRIETAS,12/16,11,15,15,1.36,,1.36,7,7,MALL,GWTL
SOUTH FRIETAS,12/12,13,39,39,3.00,,3.00,20,18,MALL,GWTL
SOUTH FRIETAS,12/15,26,29,29,1.12,,1.12,17,7,GWTL,MALL
SOUTH FRIETAS,12/16,13,25,25,1.92,,1.92,11,6,MALL,GWTL
SALT SLOUGH (NO.GL),12/12,38,82,82,2.16,,2.16,45,24,GWTL,MALL
SALT SLOUGH (NO.GL),12/15,65,108,109,1.66,0.02,1.68,42,36,GWTL,MALL
SALT SLOUGH (NO.GL),12/16,34,37,37,1.09,,1.09,13,12,MALL,GWTL
SALTON SEA NWR,12/12,2,5,5,2.50,,2.50,2,2,GWTL,SHOV
SALTON SEA NWR,12/15,20,35,37,1.75,0.10,1.85,20,6,SHOV,GADW
SALTON SEA NWR,12/16,5,2,5,0.40,0.60,1.00,2,0,MALL,
SACRAMENTO,12/12,125,385,393,3.08,0.06,3.14,113,65,GADW,SHOV
SACRAMENTO,12/15,186,455,1384,2.45,0.11,2.55,181,88,GADW,MALL
SACRAMENTO,12/16,148,172,179,1.16,0.05,1.21,34,34,GADW,SHOV
SAN JACINTO,12/12,85,150,151,1.76,,1.78,78,23,SHOV,GWTL
SAN JACINTO,12/15,111,185,188,1.67,,1.69,79,38,SHOV,GWTL
SAN LUIS,12/12,74,220,220,2.97,,2.97,144,30,GWTL,MALL
SAN LUIS,12/15,105,216,219,2.06,,2.09,109,50,GWTL,MALL
SAN LUIS,12/16,68,104,105,1.53,,1.54,79,9,GWTL,AMWI
SHASTA VALLEY,12/12,25,65,65,2.60,0.04,2.64,32,8,MALL,GWTL
SHASTA VALLEY,12/15,24,85,90,3.54,0.21,3.75,27,17,MALL,RNDU
SHASTA VALLEY,12/16,29,14,15,0.48,0.03,0.52,6,3,RNDU,MALL
SUTTER,12/12,81,87,88,1.07,0.01,1.09,22,15,GWTL,MALL
SUTTER,12/15,79,185,185,2.34,,2.34,57,43,GWTL,AMWI
SUTTER,12/16,66,71,73,1.08,0.03,1.11,23,15,GWTL,AMWI
VOLTA,12/12,24,53,98,2.21,,4.08,16,16,GWTL,SHOV
VOLTA,12/15,55,74,125,1.35,,2.27,21,19,SHOV,MALL
VOLTA,12/16,11,7,7,0.64,,0.64,4,2,GWTL,AMWI
WILLOW CREEK,12/12,1,5,5,5.00,,5.00,2,2,MALL,SHOV
WILLOW CREEK,12/15,5,24,25,4.80,0.20,5.00,8,5,SHOV,AMWI
WILLOW CREEK,12/16,5,14,15,2.80,0.20,3.00,6,3,MALL,AMWI
WISTER,12/12,108,361,398,3.34,0.34,3.69,89,79,GWTL,SHOV
WISTER,12/15,245,622,659,2.54,0.15,2.69,228,141,GWTL,SHOV
WISTER,12/16,114,131,151,1.15,0.18,1.32,45,23,GWTL,SHOV
YOLO,12/12,101,112,121,1.11,,1.20,36,24,BUFH,GWTL
YOLO,12/15,112,147,155,1.31,0.04,1.38,55,21,GWTL,SHOV
YOLO,12/16,75,69,72,0.92,,0.96,23,13,GWTL,PNTL
WEST BEAR CREEK,12/12,32,63,63,1.97,,1.97,22,16,GWTL,MALL
WEST BEAR CREEK,12/15,38,36,38,0.95,,1.00,15,13,GWTL,MALL
WEST BEAR CREEK,12/16,19,37,37,1.95,,1.95,30,4,GWTL,MALL
WEST FAMILY JR UNIT,12/12,0,0,0,,,,0,0,,
WEST FAMILY JR UNIT,12/15,1,0,0,,,,0,0,,
WEST FAMILY JR UNIT,12/16,0,0,0,,,,0,0,,
DELEVAN,12/19,140,489,514,3.49,0.18,3.67,197,112,GADW,SHOV
DELEVAN,12/22,165,403,420,2.44,0.10,2.55,127,106,GADW,SHOV
DELEVAN,12/23,108,154,170,1.43,0.15,1.57,35,35,AMWI,SHOV
BUTTE VALLEY,12/19,6,1,2,0.17,0.17,0.33,1,0,AMWI,
BUTTE VALLEY,12/22,7,0,7,0.33,1.00,1.00,0,0,MALL,
BUTTE VALLEY,12/23,3,1,3,1.00,0.67,1.00,1,0,,
FINNEY-RAMER,12/19,,1,1,0.50,,0.50,1,0,GWTL,
FINNEY-RAMER,12/20,1,0,0,,,,0,0,,
FINNEY-RAMER,12/21,5,7,7,1.40,,1.40,4,2,GWTL,SHOV
FINNEY-RAMER,12/22,6,7,7,1.17,,1.17,5,2,GWTL,SHOV
FINNEY-RAMER,12/23,5,5,5,1.00,,1.00,3,2,GWTL,SHOV
COLUSA,12/19,81,303,306,3.74,0.04,3.78,148,45,GADW,GWTL
COLUSA,12/22,102,197,198,1.93,0.01,1.94,79,42,GADW,GWTL
COLUSA,12/23,32,90,92,2.81,0.06,2.88,37,21,GWTL,GADW
GADWALL (NO.GL),12/19,33,142,142,4.30,,4.30,94,16,GWTL,GADW
GADWALL (NO.GL),12/22,35,105,105,3.00,,3.00,50,30,GWTL,SHOV
GADWALL (NO.GL),12/23,14,57,57,4.07,,4.07,39,12,GWTL,SHOV
GRAY LODGE,12/19,136,283,328,2.08,0.33,2.41,83,55,MALL,SHOV
GRAY LODGE,12/22,211,377,402,1.79,0.04,1.91,114,71,MALL,AMWI
GRAY LODGE,12/23,96,178,215,1.85,0.16,2.24,39,29,MALL,AMWI
GRIZZLY ISLAND,12/19,114,197,211,1.73,0.05,1.85,52,49,AMWI,GWTL
GRIZZLY ISLAND,12/22,154,260,262,1.69,0.01,1.70,61,53,SHOV,AMWI
GRIZZLY ISLAND,12/23,50,52,52,1.04,,1.04,16,9,MALL,SHOV
JOICE ISLAND,12/23,8,,19,19,2.38,,2.38,14,5,MALL,GADW
HONEY LAKE-DAKIN,12/19,25,7,13,0.28,0.24,0.52,4,2,MALL,SHOV
HONEY LAKE-DAKIN,12/22,26,5,11,0.19,0.23,0.42,4,2,MALL,PNTL
HONEY LAKE-DAKIN,12/23,10,10,17,1.00,0.70,1.70,5,2,MALL,GADW
HONEY LAKE-FLEMING,12/19,19,7,7,0.37,,0.37,5,2,PNTL,MALL
HONEY LAKE-FLEMING,12/22,28,10,17,0.36,0.25,0.61,4,3,MALL,WDDU
HONEY LAKE-FLEMING,12/23,13,4,4,0.31,,0.31,2,1,PNTL,MALL
HOWARD SLOUGH (UBB),12/19,54,84,86,1.56,0.04,1.59,30,14,MALL,PNTL
HOWARD SLOUGH (UBB),12/22,52,108,108,2.08,,2.08,37,18,MALL,AMWI
HOWARD SLOUGH (UBB),12/23,25,39,39,1.56,,1.56,12,9,WDDU,MALL
KESTERSON,12/19,41,72,72,1.76,,1.76,27,23,GWTL,SHOV
KESTERSON,12/22,63,90,95,1.43,0.08,1.51,35,23,GWTL,SHOV
KESTERSON,12/23,34,74,75,2.18,0.03,2.21,29,26,GWTL,MALL
LITTLE DRY CR. (UBB),12/19,82,223,227,2.72,0.05,2.77,95,38,MALL,AMWI
LITTLE DRY CR. (UBB),12/22,92,201,202,2.18,0.01,2.20,61,34,MALL,AMWI
LITTLE DRY CR. (UBB),12/23,60,103,104,1.72,0.02,1.73,29,20,AMWI,GADW
LLANO SECO (UBB),12/19,35,72,73,2.06,,2.09,38,13,MALL,GADW
LLANO SECO (UBB),12/22,47,62,65,1.32,,1.38,25,9,MALL,AMWI
LLANO SECO (UBB),12/23,25,37,37,1.48,,1.48,14,8,AMWI,MALL
LOS BANOS,12/19,94,209,213,2.22,0.04,2.27,69,48,GWTL,SHOV
LOS BANOS,12/22,141,231,235,1.64,0.01,1.67,60,50,GWTL,RNDU
LOS BANOS,12/23,47,112,113,2.38,0.02,2.40,41,22,GWTL,MALL
MENDOTA,12/19,180,315,319,1.75,0.01,1.77,137,61,GWTL,SHOV
MENDOTA,12/22,282,448,454,1.59,0.01,1.61,209,97,GWTL,SHOV
MENDOTA,12/23,72,153,160,2.13,0.01,2.22,66,32,GWTL,MALL
MERCED,12/19,33,114,125,3.45,0.33,3.79,38,25,GWTL,SHOV
MERCED,12/22,30,82,90,2.73,0.27,3.00,25,23,SHOV,GWTL
NORTH FRIETAS,12/19,19,15,15,0.79,,0.79,10,3,GWTL,MALL
NORTH FRIETAS,12/22,19,36,37,1.89,0.05,1.95,27,4,MALL,GWTL
NORTH FRIETAS,12/23,0,0,0,,,,0,0,,
SOUTH FRIETAS,12/19,8,14,14,1.75,,1.75,10,2,MALL,AMWI
SOUTH FRIETAS,12/22,18,53,54,2.94,0.06,3.00,30,15,GWTL,MALL
SOUTH FRIETAS,12/23,13,54,56,4.15,0.15,4.31,32,15,GWTL,MALL
SALT SLOUGH (NO.GL),12/19,48,66,66,1.38,,1.38,23,21,GWTL,MALL
SALT SLOUGH (NO.GL),12/22,49,77,81,1.57,0.02,1.65,21,19,SHOV,MALL
SALT SLOUGH (NO.GL),12/23,23,68,69,2.96,,3.00,25,24,MALL,GWTL
SALTON SEA NWR,12/19,6,13,20,2.17,1.17,3.33,5,2,GWTL,PNTL
SALTON SEA NWR,12/22,9,8,16,0.89,0.89,1.78,2,2,PNTL,GWTL
SALTON SEA NWR,12/23,7,2,5,0.29,0.43,0.71,1,1,MALL,SHOV
SACRAMENTO,12/19,115,282,298,2.45,0.14,2.59,106,53,GADW,SHOV
SACRAMENTO,12/22,198,278,316,1.40,0.16,1.60,76,70,GADW,SHOV
SACRAMENTO,12/23,98,85,90,0.87,0.05,0.92,19,18,SHOV,GADW
SAN JACINTO,12/19,92,82,84,0.89,0.02,0.91,39,15,SHOV,GWTL
SAN JACINTO,12/22,116,174,179,1.50,0.02,1.54,101,29,SHOV,GWTL
SAN LUIS,12/19,75,90,92,1.20,,-,1.23,48,17,GWTL,MALL
SAN LUIS,12/22,82,196,198,2.39,0.02,2.41,88,44,GWTL,MALL
SAN LUIS,12/23,25,95,95,3.80,,3.80,47,28,GWTL,MALL
SHASTA VALLEY,12/19,12,30,31,2.50,0.08,2.58,9,7,BUFH,MALL
SHASTA VALLEY,12/22,23,35,35,1.52,,1.52,15,11,MALL,RNDU
SHASTA VALLEY,12/23,17,1,2,0.06,,0.12,1,0,RNDU,
VOLTA,12/19,23,88,88,3.83,,3.83,25,16,SHOV,MALL
VOLTA,12/22,60,127,169,2.12,,2.82,38,33,GWTL,SHOV
VOLTA,12/23,15,33,87,2.20,,5.80,12,10,SHOV,MALL
WISTER,12/19,137,341,382,2.49,0.30,2.79,109,75,GWTL,SHOV
WISTER,12/22,198,440,503,2.22,0.18,2.54,173,84,GWTL,SHOV
WISTER,12/23,28,33,35,1.18,0.07,1.25,14,8,SHOV,GWTL
YOLO,12/19,22,6,6,0.27,,0.27,4,1,GWTL,MALL
YOLO,12/22,31,38,45,1.23,0.06,1.45,16,13,GWTL,MALL
YOLO,12/23,5,5,6,1.00,0.20,1.20,2,2,MALL,GWTL
ASH CREEK,1/2,5,1,1,0.20,,0.20,1,0,AMWI,
ASH CREEK,1/5,10,0,2,,0.20,0.20,0,0,,
ASH CREEK,1/6,7,3,14,0.43,1.57,2.00,2,1,MALL,AMWI
DELEVAN,1/2,156,622,742,3.99,0.77,4.76,229,116,MALL,GWTL
DELEVAN,1/5,172,587,622,3.41,0.20,3.62,175,145,GADW,SHOV
DELEVAN,1/6,127,230,252,1.81,0.17,1.98,71,64,SHOV,GADW
BUTTE VALLEY,1/2,21,0,13,,0.62,0.62,0,0,,
BUTTE VALLEY,1/5,37,0,45,,1.22,1.22,0,0,,
BUTTE VALLEY,1/6,19,0,5,,0.26,0.26,0,0,,
FINNEY-RAMER,1/2,1,4,4,4.00,,4.00,3,1,GWTL,SHOV
FINNEY-RAMER,1/3,1,3,3,3.00,,3.00,2,1,GWTL,SHOV
FINNEY-RAMER,1/4,3,3,3,1.00,,1.00,3,0,GWTL,
