Area Name,Date,# of Hunters,# of Ducks,# of Waterfowl,Average Ducks,Average Geese,Average Waterfowl,#1 Duck Harvest,#2 Duck Harvest,#1 Duck Species,#2 Duck Species
MENDOTA,1/27,233,338,351,1.45,0.06,1.51,155,46,GWTL,MALL
MERCED,1/23,25,68,68,2.72,,2.72,19,13,SHOV,MALL
MERCED,1/26,31,65,70,2.10,0.16,2.26,27,16,GWTL,SHOV
NORTH FRIETAS,1/23,7,29,29,4.14,,4.14,23,2,GWTL,GADW
NORTH FRIETAS,1/26,24,86,87,3.58,0.04,3.63,74,5,GWTL,AMWI
NORTH FRIETAS,1/27,19,30,30,1.58,,1.58,15,9,GWTL,MALL
SOUTH FRIETAS,1/23,4,17,17,4.25,,4.25,8,5,GWTL,MALL
SOUTH FRIETAS,1/26,10,36,36,3.60,,3.60,32,2,GWTL,MALL
SOUTH FRIETAS,1/27,6,21,23,3.50,0.33,3.83,15,3,GWTL,MALL
SALT SLOUGH (NO.GL),1/23,48,170,171,3.54,0.02,3.56,86,35,SHOV,GWTL
SALT SLOUGH (NO.GL),1/26,63,62,63,0.98,0.02,1.00,23,16,GWTL,SHOV
SALT SLOUGH (NO.GL),1/27,40,86,87,2.15,0.03,2.18,36,21,GWTL,MALL
SALTON SEA NWR,1/23,11,22,24,2.00,0.18,2.18,7,7,GWTL,SHOV
SALTON SEA NWR,1/26,42,67,71,1.60,0.10,1.70,39,11,SHOV,GWTL
SALTON SEA NWR,1/27,26,6,8,0.23,0.08,0.31,5,1,SHOV,PNTL
SACRAMENTO,1/23,184,565,636,3.07,0.39,3.46,157,101,GWTL,GADW
SACRAMENTO,1/26,244,598,712,2.45,0.47,2.92,139,121,GADW,GWTL
SACRAMENTO,1/27,185,153,221,0.83,0.37,1.20,30,22,SHOV,GADW
SAN JACINTO,1/23,82,246,246,3.00,,3.00,94,83,SHOV,GWTL
SAN JACINTO,1/26,103,142,142,1.38,,1.38,39,39,GWTL,SHOV
SAN LUIS,1/23,63,176,178,2.79,0.03,2.83,68,35,GWTL,SHOV
SAN LUIS,1/26,110,299,303,2.72,0.04,2.75,145,45,GWTL,SHOV
SAN LUIS,1/27,78,120,130,1.54,0.13,1.67,63,20,GWTL,MALL
SUTTER,1/23,102,354,434,3.47,0.78,4.25,113,91,AMWI,MALL
SUTTER,1/26,106,273,348,2.58,0.71,3.28,58,42,MALL,GADW
SUTTER,1/27,98,242,299,2.47,0.58,3.05,87,50,GWTL,MALL
VOLTA,1/23,81,297,297,3.67,,3.67,140,61,GWTL,SHOV
VOLTA,1/26,114,327,330,2.87,,2.89,142,64,GWTL,SHOV
VOLTA,1/27,41,50,50,1.22,,1.22,15,8,GWTL,GADW
WISTER,1/23,149,318,366,2.13,0.32,2.46,119,86,GWTL,SHOV
WISTER,1/26,261,455,484,1.74,0.11,1.85,240,84,GWTL,SHOV
WISTER,1/27,148,87,110,0.59,0.16,0.74,28,27,GWTL,SHOV
YOLO,1/23,93,295,324,3.17,0.31,3.48,119,56,GWTL,SHOV
YOLO,1/26,139,409,412,2.94,0.02,2.96,161,77,GWTL,SHOV
YOLO,1/27,126,192,213,1.52,0.17,1.69,84,37,GWTL,AMWI
WEST BEAR CREEK,1/23,33,131,131,3.97,,3.97,45,35,GWTL,SHOV
WEST BEAR CREEK,1/26,45,124,124,2.76,,2.76,69,15,GWTL,SHOV
WEST BEAR CREEK,1/27,27,36,40,1.33,0.15,1.48,11,10,SHOV,GWTL
