Area Name,Date,# of Hunters,# of Ducks,# of Geese,# of Waterfowl,Average Ducks,Average Geese,Average Waterfowl,#1 Species,#2 Species
Sacramento,11/1,184,419,23,442,2.3,0.1,2.4,GADW,NSHO
Sacramento,11/4,155,134,8,142,0.9,0.1,0.9,NSHO,GADW
Sutter,11/1,77,140,2,142,1.8,0.0,1.8,MALL,NSHO
Sutter,11/4,66,49,4,53,0.7,0.1,0.8,MALL,GADW
Delevan,11/29,120,406,10,416,3.4,0.1,3.5,GADW,NSHO
Delevan,12/2,148,265,11,276,1.8,0.1,1.9,NSHO,GADW
Gray Lodge,11/29,243,327,40,367,1.4,0.2,1.5,MALL,AMWI
Gray Lodge,12/2,137,188,31,219,1.4,0.2,1.6,NSHO,AMWI
Sacramento,11/29,186,455,1384,1839,2.5,7.4,10.0,GADW,MALL
Sacramento,12/2,148,172,7,179,1.2,0.1,1.2,GADW,NSHO
Sutter,11/29,79,185,0,185,2.3,0.0,2.3,AGWT,AMWI
Sutter,12/2,66,71,2,73,1.1,0.0,1.1,AGWT,AMWI
Delevan,12/20,165,403,17,420,2.4,0.1,2.6,GADW,NSHO
Delevan,12/23,108,154,16,170,1.4,0.2,1.6,AMWI,NSHO
Gray Lodge,12/20,211,377,25,402,1.8,0.1,1.9,MALL,AMWI
Gray Lodge,12/23,96,178,37,215,1.9,0.4,2.2,MALL,AMWI
Sacramento,12/20,198,278,38,316,1.4,0.2,1.6,GADW,NSHO
Sacramento,12/23,98,85,5,90,0.9,0.1,0.9,NSHO,GADW
Sutter,12/20,82,196,2,198,2.4,0.0,2.4,AGWT,MALL
Sutter,12/23,25,95,0,95,3.8,0.0,3.8,AGWT,MALL
Delevan,1/3,172,587,35,622,3.4,0.2,3.6,GADW,NSHO
Delevan,1/6,127,230,22,252,1.8,0.2,2.0,NSHO,GADW
Gray Lodge,1/3,275,485,45,530,1.8,0.2,1.9,GADW,MALL
Gray Lodge,1/6,136,193,26,219,1.4,0.2,1.6,MALL,AMWI
Sacramento,1/3,194,417,20,437,2.2,0.1,2.3,NSHO,GADW
Sacramento,1/6,137,136,18,154,1.0,0.1,1.1,NSHO,MALL
Sutter,1/3,83,304,50,354,3.7,0.6,4.3,AGWT,AMWI
Sutter,1/6,95,172,15,187,1.8,0.2,2.0,AGWT,AMWI
Delevan,1/10,178,988,40,1028,5.6,0.2,5.8,AGWT,GADW
Delevan,1/13,142,488,19,507,3.4,0.1,3.6,GADW,NSHO
Gray Lodge,1/10,265,944,181,1125,3.6,0.7,4.3,MALL,GADW
Gray Lodge,1/13,188,473,96,569,2.5,0.5,3.0,MALL,GADW
Sacramento,1/10,203,776,55,831,3.8,0.3,4.1,GADW,NSHO
Sacramento,1/13,130,324,72,396,2.5,0.6,3.1,GADW,MALL
Sutter,1/10,92,464,87,551,5.0,1.0,6.0,AMWI,MALL
Sutter,1/13,105,331,59,390,3.2,0.6,3.7,AMWI,MALL
Delevan,1/20,169,947,193,1140,5.6,1.1,6.8,GADW,AMWI
Delevan,1/24,147,712,210,922,4.8,1.4,6.3,GADW,NSHO
Delevan,1/25,166,521,154,675,3.1,0.9,4.1,GADW,NSHO
Gray Lodge,1/20,218,1027,118,1145,4.7,0.5,5.3,MALL,GADW
Gray Lodge,1/24,414,1561,83,1644,3.8,0.2,4.0,GADW,AMWI
Gray Lodge,1/25,294,696,125,821,2.4,0.4,2.8,GADW,AMWI
Sacramento,1/20,144,625,176,801,4.3,1.2,5.6,GADW,NSHO
Sacramento,1/24,250,772,226,998,3.1,0.9,4.0,NSHO,GADW
Sacramento,1/25,198,388,252,640,2.0,1.3,3.2,GADW,MALL
San Jacinto,1/20,136,292,0,299,2.2,0.0,2.2,AGWT,NSHO
San Jacinto,1/24,158,305,0,313,1.9,0.0,2.0,AGWT,NSHO
San Luis,1/20,56,112,0,112,2.0,0.0,2.0,AGWT,MALL
San Luis,1/24,116,199,9,210,1.7,0.1,1.8,AGWT,MALL
San Luis,1/25,33,57,5,63,1.7,0.2,1.9,AGWT,MALL
Sutter,1/20,60,123,21,145,2.1,0.4,2.4,AGWT,MALL
Sutter,1/24,110,361,85,446,3.3,0.8,4.1,MALL,AMWI
Sutter,1/25,38,38,0,38,1.0,0.0,1.0,AGWT,MALL
Volta,1/24,13,55,0,55,4.2,0.0,4.2,MALL,NSHO
Volta,1/25,1,7,0,7,7.0,0.0,7.0,MALL,
San Luis,2/3,13,27,0,27,2.1,0.0,2.1,AGWT,NSHO
San Luis,2/4,2,2,0,2,1.0,0.0,1.0,AGWT,CITE
Shasta Valley,9/23,6,30,1,31,5.0,0.2,5.2,MALL,GADW
Shasta Valley,9/24,1,7,0,7,7.0,0.0,7.0,MALL,
Sutter,2/4,28,68,53,121,2.4,1.9,4.3,GWFG,AGWT
``` 

**Key Information:**
* **Northeastern Zone** season closed on January 20, 2017. 
* Several locations, including **Howard Slough**, **Island Slough**, **Little Dry Creek**, **Llano Seco**, and **Yolo**, were reported as **closed or flooded** toward the end of the season in February 2018. 
* Abbreviations include: **MALL** (Mallard), **GADW** (Gadwall), **AGWT** (Green-winged Teal), **AMWI** (American Wigeon), **NOPI** (Northern Pintail), and **NSHO** (Northern Shoveler).
