Area Name,Date,# of Hunters,# of Ducks,# of Geese,# of Waterfowl,Average Ducks,Average Geese,Average Waterfowl,#1 Species,#2 Species
Sacramento,11/4,184,419,23,442,2.3,0.1,2.4,GADW,NSHO
Sacramento,11/7,155,134,8,142,0.9,0.1,0.9,NSHO,GADW
Sutter,11/4,77,140,2,142,1.8,0.0,1.8,MALL,NSHO
Sutter,11/7,66,49,4,53,0.7,0.1,0.8,MALL,GADW
Delevan,12/2,120,406,10,416,3.4,0.1,3.5,GADW,NSHO
Delevan,12/5,148,265,11,276,1.8,0.1,1.9,NSHO,GADW
Gray Lodge,12/2,243,327,40,367,1.4,0.2,1.5,MALL,AMWI
Gray Lodge,12/5,137,188,31,219,1.4,0.2,1.6,NSHO,AMWI
Sacramento,12/2,186,455,1384,1839,2.5,7.4,10.0,GADW,MALL
Sacramento,12/5,148,172,7,179,1.2,0.1,1.2,GADW,NSHO
Sutter,12/2,79,185,0,185,2.3,0.0,2.3,AGWT,AMWI
Sutter,12/5,66,71,2,73,1.1,0.0,1.1,AGWT,AMWI
Delevan,12/23,165,403,17,420,2.4,0.1,2.6,GADW,NSHO
Delevan,12/26,108,154,16,170,1.4,0.2,1.6,AMWI,NSHO
Gray Lodge,12/23,211,377,25,402,1.8,0.1,1.9,MALL,AMWI
Gray Lodge,12/26,96,178,37,215,1.9,0.4,2.2,MALL,AMWI
Sacramento,12/23,198,278,38,316,1.4,0.2,1.6,GADW,NSHO
Sacramento,12/26,98,85,5,90,0.9,0.1,0.9,NSHO,GADW
Sutter,12/23,82,196,2,198,2.4,0.0,2.4,AGWT,MALL
Sutter,12/26,25,95,0,95,3.8,0.0,3.8,AGWT,MALL
Delevan,1/6,172,587,35,622,3.4,0.2,3.6,GADW,NSHO
Delevan,1/9,127,230,22,252,1.8,0.2,2.0,NSHO,GADW
Gray Lodge,1/6,275,485,45,530,1.8,0.2,1.9,GADW,MALL
Gray Lodge,1/9,136,193,26,219,1.4,0.2,1.6,MALL,AMWI
Sacramento,1/6,194,417,20,437,2.1,0.1,2.3,NSHO,GADW
Sacramento,1/9,137,136,18,154,1.0,0.1,1.1,NSHO,MALL
Sutter,1/6,83,304,50,354,3.7,0.6,4.3,AGWT,AMWI
Sutter,1/9,95,172,15,187,1.8,0.2,2.0,AGWT,AMWI
Delevan,1/13,178,988,40,1028,5.6,0.2,5.8,AGWT,GADW
Delevan,1/16,142,488,19,507,3.4,0.1,3.6,GADW,NSHO
Gray Lodge,1/13,265,944,181,1125,3.6,0.7,4.3,MALL,GADW
Gray Lodge,1/16,188,473,96,569,2.5,0.5,3.0,MALL,GADW
Sacramento,1/13,203,776,55,831,3.8,0.3,4.1,GADW,NSHO
Sacramento,1/16,130,324,72,396,2.5,0.6,3.1,GADW,MALL
Sutter,1/13,92,464,87,551,5.0,1.0,6.0,AMWI,MALL
Sutter,1/16,105,331,59,390,3.2,0.6,3.7,AMWI,MALL
Delevan,1/27,182,458,106,564,2.5,0.6,3.1,GADW,AGWT
Delevan,1/30,166,221,27,248,1.3,0.2,1.5,AGWT,GADW
Gray Lodge,1/27,230,483,1,484,2.1,0.0,2.1,AGWT,AMWI
Gray Lodge,1/30,120,132,3,135,1.1,0.0,1.1,AGWT,MALL
Sacramento,1/27,244,598,114,712,2.5,0.5,2.9,GADW,AGWT
Sacramento,1/30,185,153,68,221,0.8,0.4,1.2,NSHO,GADW
San Jacinto,2/6,107,123,0,123,1.1,0.0,1.1,CITE,NSHO
San Luis,2/6,12,38,0,38,3.2,0.0,3.2,AGWT,CITE
San Luis,2/7,5,16,0,16,3.2,0.0,3.2,NSHO,MALL
Shasta Valley,9/19,6,6,0,6,1.0,0.0,1.0,MALL,GADW
Shasta Valley,9/20,1,0,0,0,0.0,0.0,0.0,,
Sutter,1/27,106,273,75,348,2.6,0.7,3.3,MALL,GADW
Sutter,1/30,98,242,57,299,2.5,0.6,3.1,AGWT,MALL
Sutter,2/7,42,125,19,144,3.0,0.5,3.4,AMWI,NOPI
Volta,2/6,23,99,0,99,4.3,0.0,4.3,AGWT,NSHO
